"Season","Team","H","HR","R","BB","SO","AVG","OBP","SLG","OPS","ISO","BABIP","wOBA","wRC","wRCplus"
"1999","Indians","1629","209","1009","743","1099",".289",".373",".467",".840",".177",".323",".367","1001","112"
"2009","Yankees","1604","244","915","663","1014",".283",".362",".478",".839",".194",".306",".365","963","117"
"2000","Indians","1639","221","950","685","1057",".288",".367",".470",".837",".182",".318",".364","987","109"
"2003","Red Sox","1667","238","961","620","943",".289",".360",".491",".851",".202",".307",".364","997","120"
"1999","Rangers","1653","230","945","611","937",".293",".361",".479",".840",".186",".313",".363","956","109"
"2007","Yankees","1656","201","968","637","991",".290",".366",".463",".829",".174",".318",".361","973","119"
"2000","Astros","1547","249","938","673","1129",".278",".361",".477",".837",".199",".305",".361","952","105"
"1998","Yankees","1625","207","965","653","1025",".288",".364",".460",".825",".172",".317",".360","952","116"
"2000","Giants","1535","226","925","709","1032",".278",".362",".472",".834",".194",".303",".359","943","112"
"2004","Red Sox","1613","222","949","659","1189",".282",".360",".472",".832",".190",".319",".358","964","114"
"1999","Yankees","1568","193","900","718","978",".282",".366",".453",".819",".171",".309",".358","932","111"
"2000","White Sox","1615","216","978","591","960",".286",".356",".470",".826",".184",".309",".357","934","106"
"1998","Rangers","1637","201","940","595","1045",".289",".357",".462",".819",".173",".321",".357","929","108"
"2001","Rockies","1663","213","923","511","1027",".292",".354",".483",".837",".191",".322",".357","948","95"
"2000","Athletics","1501","239","947","750","1159",".270",".360",".458",".817",".188",".300",".356","931","109"
"2000","Angels","1574","236","864","608","1024",".280",".352",".472",".825",".193",".303",".356","920","106"
"2006","Yankees","1608","210","930","649","1053",".285",".363",".461",".824",".177",".315",".356","943","113"
"2008","Rangers","1619","194","901","595","1207",".283",".354",".462",".816",".179",".325",".355","920","112"
"1999","Rockies","1644","223","906","508","863",".288",".348",".472",".819",".184",".304",".354","901","84"
"2003","Braves","1608","235","907","545","933",".284",".349",".475",".824",".192",".302",".354","916","112"
"2000","Cardinals","1481","235","887","675","1253",".270",".356",".455",".812",".185",".308",".353","901","105"
"2000","Rockies","1664","161","968","601","907",".294",".362",".455",".816",".161",".322",".353","915","82"
"1999","Blue Jays","1580","212","883","578","1077",".280",".352",".457",".810",".177",".311",".353","898","104"
"1998","Mariners","1554","234","859","558","1082",".276",".345",".468",".812",".192",".302",".353","896","109"
"1998","Red Sox","1568","205","876","541","1049",".280",".348",".463",".810",".183",".310",".352","890","107"
"2005","Red Sox","1579","199","910","653","1044",".281",".357",".454",".811",".174",".310",".352","906","112"
"2007","Red Sox","1561","166","867","689","1042",".279",".362",".444",".806",".165",".315",".352","906","109"
"2002","Yankees","1540","223","897","640","1171",".275",".354",".455",".809",".180",".310",".352","901","116"
"2000","Mariners","1481","198","907","775","1073",".269",".361",".442",".803",".172",".299",".352","907","107"
"2011","Red Sox","1600","203","875","578","1108",".280",".349",".461",".810",".181",".314",".352","902","117"
"2008","Red Sox","1565","173","845","646","1068",".280",".358",".447",".805",".168",".315",".351","893","110"
"1999","Athletics","1430","235","893","770","1129",".259",".355",".446",".801",".187",".285",".351","896","106"
"1998","Rockies","1640","183","826","469","949",".291",".347",".461",".808",".169",".321",".351","875","87"
"2003","Yankees","1518","230","877","684","1042",".271",".356",".453",".810",".182",".295",".351","914","115"
"2009","Red Sox","1495","212","872","659","1120",".270",".352",".454",".806",".184",".301",".351","877","106"
"2007","Phillies","1558","213","892","641","1205",".274",".354",".458",".812",".184",".311",".351","912","105"
"1999","Mets","1553","181","853","717","994",".279",".363",".434",".797",".156",".308",".350","888","105"
"2004","Yankees","1483","242","897","670","982",".268",".353",".458",".811",".189",".285",".350","897","112"
"2000","Yankees","1541","205","871","631","1007",".277",".354",".450",".804",".173",".304",".350","879","105"
"2005","Yankees","1552","229","886","637","989",".276",".355",".450",".805",".174",".297",".350","895","116"
"1999","Orioles","1572","203","851","615","890",".279",".353",".447",".800",".169",".298",".350","885","107"
"2000","Blue Jays","1562","244","861","526","1026",".275",".341",".469",".810",".194",".297",".350","880","101"
"2001","Rangers","1566","246","890","548","1093",".275",".344",".471",".815",".195",".300",".349","911","108"
"2017","Astros","1581","238","896","509","1087",".282",".346",".478",".823",".196",".309",".349","911","122"
"2006","Blue Jays","1591","199","809","514","906",".284",".348",".463",".811",".179",".306",".349","874","107"
"2008","Cubs","1552","184","855","636","1186",".278",".354",".443",".797",".165",".321",".349","869","104"
"1999","Red Sox","1551","176","836","597","928",".278",".350",".448",".798",".170",".303",".349","865","102"
"1999","Diamondbacks","1566","216","908","588","1045",".277",".347",".459",".805",".182",".303",".348","872","98"
"2011","Rangers","1599","210","855","475","930",".283",".340",".460",".800",".177",".304",".347","858","112"
"1999","Giants","1507","188","872","696","1028",".271",".356",".434",".790",".163",".301",".347","872","104"
"2003","Blue Jays","1580","190","894","546","1081",".279",".349",".455",".803",".175",".313",".347","885","108"
"2001","Mariners","1637","169","927","614","989",".288",".360",".445",".805",".157",".320",".347","912","116"
"1998","Orioles","1520","214","817","593","903",".273",".347",".447",".794",".174",".291",".347","863","109"
"2001","Indians","1559","212","897","577","1076",".278",".350",".458",".807",".179",".308",".347","896","112"
"2000","Rangers","1601","173","848","580","922",".283",".352",".446",".798",".163",".310",".347","871","97"
"2007","Tigers","1652","177","887","474","1054",".287",".345",".458",".802",".171",".323",".347","872","108"
"1998","Astros","1578","166","874","621","1122",".280",".356",".436",".792",".156",".321",".347","874","113"
"1998","Indians","1530","198","850","630","1061",".272",".347",".448",".795",".176",".302",".347","872","103"
"2013","Red Sox","1566","178","853","581","1308",".277",".349",".446",".795",".169",".329",".347","863","114"
"2006","Indians","1576","196","870","556","1204",".280",".349",".457",".806",".177",".324",".347","873","108"
"2016","Red Sox","1598","208","878","558","1160",".282",".348",".461",".810",".179",".320",".346","893","113"
"1999","Mariners","1499","244","859","610","1095",".269",".343",".455",".798",".186",".293",".346","853","105"
"2003","Cardinals","1580","196","876","580","952",".279",".350",".454",".804",".175",".302",".346","888","109"
"2010","Yankees","1485","201","859","662","1136",".267",".350",".436",".786",".169",".300",".346","860","112"
"2009","Angels","1604","173","883","547","1054",".285",".350",".441",".792",".156",".322",".346","843","108"
"1998","Braves","1489","215","826","548","1062",".272",".342",".453",".795",".181",".300",".346","840","108"
"2007","Rockies","1591","171","860","622","1152",".280",".354",".437",".791",".158",".322",".346","878","97"
"2006","White Sox","1586","236","868","502","1056",".280",".342",".464",".806",".184",".305",".346","869","103"
"2010","Red Sox","1511","211","818","587","1140",".268",".339",".451",".790",".183",".299",".345","852","109"
"2004","Indians","1565","184","858","606","1009",".276",".351",".444",".795",".168",".305",".345","879","109"
"2011","Yankees","1452","222","867","627","1138",".263",".343",".444",".788",".181",".292",".345","848","113"
"2004","Rockies","1531","202","833","568","1181",".275",".345",".455",".800",".180",".314",".344","854","93"
"2015","Blue Jays","1480","232","891","570","1151",".269",".340",".457",".797",".188",".298",".344","854","117"
"1999","Reds","1536","209","865","569","1125",".272",".341",".451",".792",".179",".304",".344","843","96"
"2004","Cardinals","1544","214","855","548","1085",".278",".344",".460",".804",".182",".307",".344","848","107"
"2005","Rangers","1528","260","865","495","1112",".267",".329",".468",".798",".201",".290",".344","847","106"
"1999","Phillies","1539","161","841","631","1081",".275",".351",".431",".782",".156",".313",".343","839","96"
"2002","Rangers","1511","230","843","554","1055",".269",".338",".455",".794",".186",".292",".343","849","103"
"2001","Astros","1500","208","847","581","1119",".271",".347",".451",".798",".180",".304",".343","861","101"
"2002","Red Sox","1560","177","859","545","944",".277",".345",".444",".789",".168",".302",".343","849","107"
"1998","Blue Jays","1482","221","816","564","1132",".266",".340",".448",".787",".182",".295",".343","843","102"
"2008","Tigers","1529","200","821","572","1076",".271",".340",".444",".784",".173",".301",".343","837","106"
"1999","Royals","1584","151","856","535","932",".282",".348",".433",".781",".151",".312",".342","832","94"
"1999","Brewers","1524","165","815","658","1065",".273",".353",".426",".779",".153",".309",".342","841","97"
"2002","White Sox","1475","217","856","555","952",".268",".338",".449",".787",".181",".287",".342","827","105"
"2008","Cardinals","1585","174","779","577","985",".281",".350",".433",".783",".152",".312",".342","836","107"
"2003","Rockies","1472","198","853","619","1134",".267",".344",".445",".790",".179",".302",".342","843","90"
"2009","Rays","1434","199","803","642","1229",".263",".343",".439",".782",".177",".303",".342","812","109"
